date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team,away_team,teamA_PTS,teamB_PTS,teamA_FG_PCT,teamB_FG_PCT,teamA_FT_PCT,teamB_FT_PCT,teamA_FG3_PCT,teamB_FG3_PCT,teamA_AST,teamB_AST,teamA_REB,teamB_REB
2016-10-25,2017,cleveland,new york,1,117,88,-450.0,355.0,206.0,9.0,103.5,2016-10-25,21600001.0,Final,1610612739.0,1610612752.0,2016.0,1610612739.0,117.0,0.479,0.737,0.371,31.0,51.0,1610612752.0,88.0,0.368,0.75,0.3329999999999999,17.0,42.0,1.0,cleveland,new york,117.0,88.0,0.479,0.368,0.737,0.75,0.371,0.3329999999999999,31.0,17.0,51.0,42.0
2016-10-25,2017,golden state,san antonio,1,100,129,-400.0,325.0,212.0,8.0,110.0,2016-10-25,21600003.0,Final,1610612744.0,1610612759.0,2016.0,1610612744.0,100.0,0.471,0.722,0.212,24.0,35.0,1610612759.0,129.0,0.48,0.885,0.5,25.0,55.0,0.0,golden state,san antonio,100.0,129.0,0.471,0.48,0.722,0.885,0.212,0.5,24.0,25.0,35.0,55.0
2016-10-25,2017,portland,utah,1,113,104,-235.0,195.0,192.0,5.5,99.5,2016-10-25,21600002.0,Final,1610612757.0,1610612762.0,2016.0,1610612757.0,113.0,0.52,1.0,0.684,22.0,34.0,1610612762.0,104.0,0.488,1.0,0.3329999999999999,19.0,31.0,1.0,portland,utah,113.0,104.0,0.52,0.488,1.0,1.0,0.684,0.3329999999999999,22.0,19.0,34.0,31.0
2016-10-26,2017,denver,new orleans,0,107,102,105.0,-125.0,206.0,-1.5,101.0,2016-10-26,21600010.0,Final,1610612740.0,1610612743.0,2016.0,1610612740.0,102.0,0.413,0.885,0.158,31.0,33.0,1610612743.0,107.0,0.446,0.758,0.3329999999999999,18.0,58.0,0.0,new orleans,denver,107.0,102.0,0.446,0.413,0.758,0.885,0.3329999999999999,0.158,18.0,31.0,58.0,33.0
2016-10-26,2017,detroit,toronto,0,91,109,210.0,-260.0,197.0,-6.0,98.0,2016-10-26,21600007.0,Final,1610612761.0,1610612765.0,2016.0,1610612761.0,109.0,0.477,0.828,0.1669999999999999,17.0,51.0,1610612765.0,91.0,0.417,0.773,0.182,17.0,40.0,1.0,toronto,detroit,91.0,109.0,0.417,0.477,0.773,0.828,0.182,0.1669999999999999,17.0,17.0,40.0,51.0
2016-10-26,2017,houston,la lakers,0,114,120,-260.0,210.0,225.0,6.0,115.0,2016-10-26,21600013.0,Final,1610612747.0,1610612745.0,2016.0,1610612747.0,120.0,0.506,0.818,0.3429999999999999,21.0,39.0,1610612745.0,114.0,0.512,0.7040000000000001,0.241,29.0,39.0,1.0,la lakers,houston,114.0,120.0,0.512,0.506,0.7040000000000001,0.818,0.241,0.3429999999999999,29.0,21.0,39.0,39.0
2016-10-26,2017,miami,orlando,0,108,96,135.0,-155.0,200.0,-3.0,99.5,2016-10-26,21600004.0,Final,1610612753.0,1610612748.0,2016.0,1610612753.0,96.0,0.382,0.7859999999999999,0.3329999999999999,20.0,45.0,1610612748.0,108.0,0.485,0.625,0.25,27.0,52.0,0.0,orlando,miami,108.0,96.0,0.485,0.382,0.625,0.7859999999999999,0.25,0.3329999999999999,27.0,20.0,52.0,45.0
2016-10-26,2017,oklahoma city,philadelphia,0,103,97,-460.0,365.0,209.5,9.0,104.0,2016-10-26,21600011.0,Final,1610612755.0,1610612760.0,2016.0,1610612755.0,97.0,0.429,0.72,0.292,21.0,43.0,1610612760.0,103.0,0.415,0.731,0.273,19.0,53.0,0.0,philadelphia,oklahoma city,103.0,97.0,0.415,0.429,0.731,0.72,0.273,0.292,19.0,21.0,53.0,43.0
2016-10-26,2017,dallas,indiana,0,121,130,185.0,-215.0,204.5,-5.5,103.5,2016-10-26,21600005.0,Final,1610612754.0,1610612742.0,2016.0,1610612754.0,130.0,0.505,0.765,0.526,30.0,52.0,1610612742.0,121.0,0.433,0.722,0.375,26.0,49.0,1.0,indiana,dallas,121.0,130.0,0.433,0.505,0.722,0.765,0.375,0.526,26.0,30.0,49.0,52.0
2016-10-26,2017,charlotte,milwaukee,0,107,96,-120.0,100.0,195.0,1.5,97.0,2016-10-26,21600008.0,Final,1610612749.0,1610612766.0,2016.0,1610612749.0,96.0,0.424,0.75,0.188,23.0,46.0,1610612766.0,107.0,0.449,0.833,0.304,27.0,51.0,0.0,milwaukee,charlotte,107.0,96.0,0.449,0.424,0.833,0.75,0.304,0.188,27.0,23.0,51.0,46.0
