date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal
2007-10-30,2008,Golden State,Utah,1,96,117,-120.0,100.0,212.0,1.0,105.5
2007-10-30,2008,Houston,LA Lakers,0,95,93,-230.0,190.0,199.0,5.0,99.0
2007-10-30,2008,Portland,San Antonio,0,97,106,900.0,-1400.0,189.5,-13.0,95.0
2007-10-31,2008,Chicago,New Jersey,0,103,112,105.0,-125.0,186.0,-1.5,94.0
2007-10-31,2008,Cleveland,Dallas,1,74,92,120.0,-140.0,184.0,-2.5,91.5
2007-10-31,2008,Denver,Seattle,1,120,103,-825.0,625.0,217.5,11.5,107.5
2007-10-31,2008,Indiana,Washington,1,119,110,105.0,-125.0,203.5,-1.5,105.0
2007-10-31,2008,Memphis,San Antonio,1,101,104,210.0,-250.0,201.0,-6.5,99.5
2007-10-31,2008,Milwaukee,Orlando,0,83,102,245.0,-295.0,197.0,-6.5,97.0
2007-10-31,2008,New Orleans,Sacramento,1,104,90,-525.0,425.0,190.5,9.5,94.0
2007-10-31,2008,Philadelphia,Toronto,0,97,106,255.0,-305.0,191.0,-6.5,96.5
2007-11-01,2008,Detroit,Miami,0,91,80,-190.0,160.0,178.5,4.0,89.5
2007-11-01,2008,Houston,Utah,0,106,95,140.0,-160.0,193.0,-3.0,98.5
2007-11-01,2008,Phoenix,Seattle,0,106,99,-725.0,575.0,224.5,12.0,112.5
2007-11-02,2008,Atlanta,Dallas,1,101,94,210.0,-250.0,191.0,-5.5,94.5
2007-11-02,2008,Boston,Washington,1,103,83,-335.0,285.0,205.5,7.5,105.0
2007-11-02,2008,Charlotte,Milwaukee,1,102,99,-170.0,150.0,196.5,4.0,96.5
2007-11-02,2008,Chicago,Philadelphia,1,85,96,-500.0,400.0,190.0,9.5,94.0
2007-11-02,2008,Cleveland,New York,1,110,106,-250.0,210.0,186.0,6.0,94.0
2007-11-02,2008,Denver,Minnesota,0,99,91,-375.0,315.0,208.5,7.5,104.0
2007-11-02,2008,Detroit,Orlando,0,116,92,150.0,-170.0,183.5,-4.0,93.5
2007-11-02,2008,Golden State,LA Clippers,0,114,120,105.0,-125.0,211.0,-1.5,104.5
2007-11-02,2008,Indiana,Miami,1,87,85,-275.0,235.0,192.0,6.5,96.5
2007-11-02,2008,LA Lakers,Phoenix,0,119,98,365.0,-435.0,215.5,-8.0,107.5
2007-11-02,2008,New Jersey,Toronto,1,69,106,-175.0,155.0,193.5,4.0,96.0
2007-11-02,2008,New Orleans,Portland,1,113,93,-325.0,275.0,203.0,7.5,102.5
2007-11-02,2008,Sacramento,San Antonio,0,80,96,1200.0,-2000.0,191.0,-14.5,92.5
2007-11-03,2008,Chicago,Milwaukee,0,72,78,-175.0,155.0,193.0,4.0,95.0
2007-11-03,2008,Dallas,Sacramento,1,123,102,-3000.0,1500.0,189.0,15.5,93.0
2007-11-03,2008,Golden State,Utah,0,110,133,425.0,-550.0,215.5,-9.5,105.5
2007-11-03,2008,Houston,Portland,1,89,80,-1000.0,700.0,203.0,11.5,100.5
2007-11-03,2008,Indiana,Memphis,0,121,111,180.0,-220.0,211.5,-5.5,107.0
2007-11-03,2008,New Jersey,Philadelphia,0,93,88,-150.0,130.0,186.5,3.0,94.5
2007-11-03,2008,Orlando,Washington,0,94,82,110.0,-130.0,197.5,-1.0,100.5
2007-11-04,2008,Atlanta,Detroit,0,91,92,290.0,-350.0,191.0,-8.0,97.0
2007-11-04,2008,Boston,Toronto,0,98,95,105.0,-125.0,194.0,-1.5,95.5
2007-11-04,2008,Charlotte,Miami,0,90,88,140.0,-160.0,186.5,-3.5,93.5
2007-11-04,2008,Cleveland,Phoenix,0,92,103,290.0,-350.0,205.0,-7.5,99.5
2007-11-04,2008,Denver,New Orleans,1,88,93,-215.0,185.0,214.5,5.0,104.5
2007-11-04,2008,LA Clippers,Seattle,1,115,101,-300.0,250.0,208.0,6.5,101.5
2007-11-04,2008,LA Lakers,Utah,1,119,109,-115.0,-105.0,205.5,1.0,106.0
2007-11-04,2008,Minnesota,New York,0,93,97,355.0,-425.0,193.0,-9.0,96.5
2007-11-05,2008,Dallas,Houston,1,107,98,-200.0,170.0,189.5,4.5,95.5
2007-11-06,2008,Atlanta,New Jersey,0,82,87,160.0,-190.0,188.5,-4.0,95.0
2007-11-06,2008,Charlotte,Phoenix,1,83,115,165.0,-195.0,207.0,-4.0,101.0
2007-11-06,2008,Chicago,LA Clippers,1,91,97,-405.0,335.0,193.0,8.5,97.5
2007-11-06,2008,Cleveland,Golden State,0,108,104,115.0,-135.0,209.5,-2.0,105.0
2007-11-06,2008,Denver,New York,0,112,119,-160.0,140.0,211.0,3.0,105.0
2007-11-06,2008,Houston,San Antonio,1,89,81,115.0,-135.0,183.5,-2.0,91.5
2007-11-06,2008,LA Lakers,New Orleans,1,104,118,-155.0,135.0,205.5,3.0,104.0
2007-11-06,2008,Milwaukee,Toronto,1,112,85,140.0,-160.0,190.0,-3.0,95.0
2007-11-06,2008,Minnesota,Orlando,1,103,111,250.0,-300.0,186.5,-6.5,93.5
2007-11-06,2008,Sacramento,Seattle,1,104,98,-130.0,110.0,208.0,2.0,101.5
2007-11-07,2008,Atlanta,Phoenix,1,105,96,190.0,-230.0,207.0,-5.0,103.5
2007-11-07,2008,Boston,Denver,1,119,93,-295.0,245.0,202.5,6.5,99.5
2007-11-07,2008,Charlotte,Philadelphia,0,63,94,165.0,-195.0,189.0,-4.0,93.5
2007-11-07,2008,Cleveland,Utah,0,101,103,400.0,-500.0,194.5,-9.0,98.0
2007-11-07,2008,Indiana,LA Clippers,1,89,104,-290.0,240.0,207.5,6.5,102.0
2007-11-07,2008,Memphis,Seattle,0,105,98,-110.0,-110.0,218.5,0.0,107.0
2007-11-07,2008,Miami,San Antonio,0,78,88,800.0,-1200.0,180.5,-11.5,88.5
2007-11-07,2008,New Orleans,Portland,0,90,93,-145.0,125.0,201.5,2.5,100.5
2007-11-07,2008,Orlando,Toronto,0,105,96,170.0,-200.0,191.5,-4.0,95.5
2007-11-08,2008,Chicago,Detroit,1,97,93,-120.0,100.0,182.0,1.0,90.0
2007-11-08,2008,Dallas,Golden State,0,120,115,-325.0,275.0,216.0,7.5,108.5
2007-11-08,2008,New Jersey,Washington,1,87,85,-275.0,235.0,190.0,6.0,98.0
2007-11-09,2008,Atlanta,Boston,0,83,106,360.0,-430.0,193.0,-8.5,97.5
2007-11-09,2008,Charlotte,Indiana,1,96,87,-125.0,105.0,195.0,1.5,97.0
2007-11-09,2008,Cleveland,Sacramento,0,93,91,-245.0,205.0,192.5,5.5,97.0
2007-11-09,2008,Denver,Washington,0,118,92,-130.0,110.0,209.5,2.0,106.5
2007-11-09,2008,Detroit,LA Clippers,1,103,79,-375.0,315.0,191.5,8.0,94.0
2007-11-09,2008,Houston,Milwaukee,1,104,88,-475.0,395.0,188.5,9.0,94.0
