date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,teamA_nick,teamB_nick,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team_name,away_team_name
2007-10-30,2008,golden state,utah,1,96,117,-120.0,100.0,212.0,1.0,105.5,warriors,jazz,2007-10-30,20700003,Final,1610612744,1610612762,2007,1610612744,96.0,0.416,0.684,0.261,19.0,37.0,1610612762,117.0,0.456,0.833,0.455,24.0,56.0,0,warriors,jazz
2007-10-31,2008,cleveland,dallas,1,74,92,120.0,-140.0,184.0,-2.5,91.5,cavaliers,mavericks,2007-10-31,20700008,Final,1610612739,1610612742,2007,1610612739,74.0,0.364,0.6,0.25,13.0,47.0,1610612742,92.0,0.478,0.85,0.5,23.0,36.0,0,cavaliers,mavericks
2007-10-31,2008,indiana,washington,1,119,110,105.0,-125.0,203.5,-1.5,105.0,pacers,wizards,2007-10-31,20700006,Final,1610612754,1610612764,2007,1610612754,119.0,0.413,0.833,0.4479999999999999,20.0,56.0,1610612764,110.0,0.364,0.711,0.3,15.0,56.0,1,pacers,wizards
2007-10-31,2008,memphis,san antonio,1,101,104,210.0,-250.0,201.0,-6.5,99.5,grizzlies,spurs,2007-10-31,20700009,Final,1610612763,1610612759,2007,1610612763,101.0,0.475,0.75,0.435,21.0,42.0,1610612759,104.0,0.4370000000000001,0.727,0.522,23.0,42.0,0,grizzlies,spurs
2007-10-31,2008,new orleans,sacramento,1,104,90,-525.0,425.0,190.5,9.5,94.0,pelicans,kings,2007-10-31,20700010,Final,1610612740,1610612758,2007,1610612740,104.0,0.506,0.762,0.476,23.0,44.0,1610612758,90.0,0.444,0.833,0.3,21.0,34.0,1,pelicans,kings
2007-11-02,2008,atlanta,dallas,1,101,94,210.0,-250.0,191.0,-5.5,94.5,hawks,mavericks,2007-11-02,20700019,Final,1610612737,1610612742,2007,1610612737,101.0,0.456,0.8059999999999999,0.267,20.0,52.0,1610612742,94.0,0.4379999999999999,0.8,0.1669999999999999,14.0,38.0,1,hawks,mavericks
2007-11-02,2008,boston,washington,1,103,83,-335.0,285.0,205.5,7.5,105.0,celtics,wizards,2007-11-02,20700021,Final,1610612738,1610612764,2007,1610612738,103.0,0.481,0.667,0.3329999999999999,20.0,46.0,1610612764,83.0,0.35,0.7709999999999999,0.0,11.0,45.0,1,celtics,wizards
2007-11-02,2008,charlotte,milwaukee,1,102,99,-170.0,150.0,196.5,4.0,96.5,hornets,bucks,2007-11-02,20700015,Final,1610612766,1610612749,2007,1610612766,102.0,0.487,0.512,0.375,20.0,41.0,1610612749,99.0,0.483,0.7140000000000001,0.385,20.0,44.0,1,hornets,bucks
2007-11-02,2008,chicago,philadelphia,1,85,96,-500.0,400.0,190.0,9.5,94.0,bulls,76ers,2007-11-02,20700024,Final,1610612741,1610612755,2007,1610612741,85.0,0.384,0.632,0.292,18.0,36.0,1610612755,96.0,0.422,0.735,0.091,18.0,55.0,0,bulls,76ers
2007-11-02,2008,cleveland,new york,1,110,106,-250.0,210.0,186.0,6.0,94.0,cavaliers,knicks,2007-11-02,20700020,Final,1610612739,1610612752,2007,1610612739,110.0,0.469,0.71,0.545,18.0,39.0,1610612752,106.0,0.462,0.609,0.5329999999999999,20.0,43.0,1,cavaliers,knicks
2007-11-02,2008,indiana,miami,1,87,85,-275.0,235.0,192.0,6.5,96.5,pacers,heat,2007-11-02,20700017,Final,1610612754,1610612748,2007,1610612754,87.0,0.3979999999999999,0.667,0.467,22.0,50.0,1610612748,85.0,0.375,0.308,0.563,22.0,55.0,1,pacers,heat
2007-11-02,2008,new orleans,portland,1,113,93,-325.0,275.0,203.0,7.5,102.5,pelicans,trail blazers,2007-11-02,20700022,Final,1610612740,1610612757,2007,1610612740,113.0,0.564,0.875,0.44,21.0,40.0,1610612757,93.0,0.482,0.7,0.462,23.0,30.0,1,pelicans,trail blazers
2007-11-03,2008,dallas,sacramento,1,123,102,-3000.0,1500.0,189.0,15.5,93.0,mavericks,kings,2007-11-03,20700033,Final,1610612742,1610612758,2007,1610612742,123.0,0.652,0.897,0.5,29.0,31.0,1610612758,102.0,0.5,0.906,0.429,14.0,27.0,1,mavericks,kings
2007-11-03,2008,houston,portland,1,89,80,-1000.0,700.0,203.0,11.5,100.5,rockets,trail blazers,2007-11-03,20700032,Final,1610612745,1610612757,2007,1610612745,89.0,0.396,0.733,0.273,23.0,47.0,1610612757,80.0,0.408,0.941,0.2,11.0,44.0,1,rockets,trail blazers
2007-11-04,2008,denver,new orleans,1,88,93,-215.0,185.0,214.5,5.0,104.5,nuggets,pelicans,2007-11-04,20700040,Final,1610612743,1610612740,2007,1610612743,88.0,0.3670000000000001,0.75,0.222,18.0,54.0,1610612740,93.0,0.384,0.731,0.3329999999999999,22.0,53.0,0,nuggets,pelicans
2007-11-05,2008,dallas,houston,1,107,98,-200.0,170.0,189.5,4.5,95.5,mavericks,rockets,2007-11-05,20700043,Final,1610612742,1610612745,2007,1610612742,107.0,0.4679999999999999,0.964,0.444,23.0,43.0,1610612745,98.0,0.42,0.905,0.238,20.0,38.0,1,mavericks,rockets
2007-11-06,2008,charlotte,phoenix,1,83,115,165.0,-195.0,207.0,-4.0,101.0,hornets,suns,2007-11-06,20700044,Final,1610612766,1610612756,2007,1610612766,83.0,0.366,0.679,0.267,11.0,51.0,1610612756,115.0,0.5,0.762,0.375,31.0,45.0,0,hornets,suns
2007-11-06,2008,houston,san antonio,1,89,81,115.0,-135.0,183.5,-2.0,91.5,rockets,spurs,2007-11-06,20700050,Final,1610612745,1610612759,2007,1610612745,89.0,0.407,0.588,0.429,25.0,55.0,1610612759,81.0,0.4639999999999999,0.609,0.375,14.0,28.0,1,rockets,spurs
2007-11-06,2008,milwaukee,toronto,1,112,85,140.0,-160.0,190.0,-3.0,95.0,bucks,raptors,2007-11-06,20700047,Final,1610612749,1610612761,2007,1610612749,112.0,0.603,0.688,0.467,31.0,45.0,1610612761,85.0,0.416,0.722,0.471,21.0,32.0,1,bucks,raptors
2007-11-06,2008,minnesota,orlando,1,103,111,250.0,-300.0,186.5,-6.5,93.5,timberwolves,magic,2007-11-06,20700048,Final,1610612750,1610612753,2007,1610612750,103.0,0.494,0.72,0.385,26.0,42.0,1610612753,111.0,0.479,0.705,0.417,21.0,40.0,0,timberwolves,magic
2007-11-07,2008,atlanta,phoenix,1,105,96,190.0,-230.0,207.0,-5.0,103.5,hawks,suns,2007-11-07,20700056,Final,1610612737,1610612756,2007,1610612737,105.0,0.456,0.826,0.25,22.0,56.0,1610612756,96.0,0.407,0.882,0.407,21.0,40.0,1,hawks,suns
2007-11-07,2008,boston,denver,1,119,93,-295.0,245.0,202.5,6.5,99.5,celtics,nuggets,2007-11-07,20700058,Final,1610612738,1610612743,2007,1610612738,119.0,0.645,0.636,0.368,32.0,38.0,1610612743,93.0,0.4589999999999999,0.75,0.368,23.0,27.0,1,celtics,nuggets
2007-11-08,2008,chicago,detroit,1,97,93,-120.0,100.0,182.0,1.0,90.0,bulls,pistons,2007-11-08,20700064,Final,1610612741,1610612765,2007,1610612741,97.0,0.4589999999999999,0.667,0.111,28.0,47.0,1610612765,93.0,0.444,0.767,0.3329999999999999,17.0,36.0,1,bulls,pistons
2007-11-09,2008,charlotte,indiana,1,96,87,-125.0,105.0,195.0,1.5,97.0,hornets,pacers,2007-11-09,20700067,Final,1610612766,1610612754,2007,1610612766,96.0,0.451,0.614,0.357,19.0,52.0,1610612754,87.0,0.425,0.65,0.3,17.0,39.0,1,hornets,pacers
2007-11-09,2008,houston,milwaukee,1,104,88,-475.0,395.0,188.5,9.0,94.0,rockets,bucks,2007-11-09,20700074,Final,1610612745,1610612749,2007,1610612745,104.0,0.434,0.923,0.308,24.0,50.0,1610612749,88.0,0.381,0.833,0.222,16.0,42.0,1,rockets,bucks
2007-11-09,2008,miami,phoenix,1,101,106,315.0,-375.0,195.5,-8.0,97.5,heat,suns,2007-11-09,20700070,Final,1610612748,1610612756,2007,1610612748,101.0,0.489,0.7859999999999999,0.267,20.0,48.0,1610612756,106.0,0.4379999999999999,0.867,0.455,22.0,43.0,0,heat,suns
2007-11-09,2008,new orleans,san antonio,1,85,97,145.0,-165.0,186.0,-3.5,94.0,pelicans,spurs,2007-11-09,20700073,Final,1610612740,1610612759,2007,1610612740,85.0,0.4320000000000001,0.647,0.267,18.0,37.0,1610612759,97.0,0.519,0.722,0.267,19.0,42.0,0,pelicans,spurs
2007-11-09,2008,new york,orlando,1,102,112,-115.0,-105.0,201.5,1.0,99.5,knicks,magic,2007-11-09,20700069,Final,1610612752,1610612753,2007,1610612752,102.0,0.4429999999999999,0.758,0.368,22.0,43.0,1610612753,112.0,0.471,0.821,0.31,24.0,40.0,0,knicks,magic
2007-11-09,2008,philadelphia,toronto,1,103,105,110.0,-130.0,187.5,-2.0,94.5,76ers,raptors,2007-11-09,20700066,Final,1610612755,1610612761,2007,1610612755,103.0,0.455,0.696,0.3329999999999999,22.0,40.0,1610612761,105.0,0.4589999999999999,0.757,0.5,25.0,45.0,0,76ers,raptors
2007-11-10,2008,chicago,toronto,1,71,101,-260.0,220.0,189.5,6.5,93.0,bulls,raptors,2007-11-10,20700082,Final,1610612741,1610612761,2007,1610612741,71.0,0.3329999999999999,0.632,0.238,18.0,38.0,1610612761,101.0,0.547,0.9,0.5,36.0,44.0,0,bulls,raptors
2007-11-10,2008,orlando,phoenix,1,96,106,105.0,-125.0,209.0,-1.5,102.5,magic,suns,2007-11-10,20700079,Final,1610612753,1610612756,2007,1610612753,96.0,0.471,0.421,0.421,25.0,43.0,1610612756,106.0,0.479,0.8,0.414,29.0,42.0,0,magic,suns
2007-11-11,2008,atlanta,washington,1,90,101,-230.0,190.0,192.5,5.5,100.0,hawks,wizards,2007-11-11,20700086,Final,1610612737,1610612764,2007,1610612737,90.0,0.39,0.7709999999999999,0.15,21.0,41.0,1610612764,101.0,0.4320000000000001,0.8,0.294,26.0,53.0,0,hawks,wizards
2007-11-11,2008,charlotte,houston,1,82,85,235.0,-275.0,186.0,-6.5,94.5,hornets,rockets,2007-11-11,20700089,Final,1610612766,1610612745,2007,1610612766,82.0,0.397,0.933,0.429,19.0,34.0,1610612745,85.0,0.433,0.852,0.286,18.0,47.0,0,hornets,rockets
2007-11-13,2008,charlotte,miami,1,91,76,-125.0,105.0,178.0,1.5,88.5,hornets,heat,2007-11-13,20700096,Final,1610612766,1610612748,2007,1610612766,91.0,0.43,0.727,0.467,22.0,47.0,1610612748,76.0,0.385,0.682,0.143,17.0,38.0,1,hornets,heat
2007-11-13,2008,dallas,philadelphia,1,99,84,-800.0,600.0,192.5,11.0,96.5,mavericks,76ers,2007-11-13,20700100,Final,1610612742,1610612755,2007,1610612742,99.0,0.446,0.7040000000000001,0.316,25.0,47.0,1610612755,84.0,0.402,0.722,0.5,21.0,47.0,1,mavericks,76ers
2007-11-14,2008,atlanta,charlotte,1,117,109,-240.0,200.0,188.0,5.5,93.5,hawks,hornets,2007-11-14,20700106,Final,1610612737,1610612766,2007,1610612737,117.0,0.597,0.815,0.5,29.0,38.0,1610612766,109.0,0.494,0.7040000000000001,0.5,19.0,29.0,1,hawks,hornets
2007-11-14,2008,cleveland,orlando,1,116,117,-150.0,130.0,190.5,3.0,96.5,cavaliers,magic,2007-11-14,20700107,Final,1610612739,1610612753,2007,1610612739,116.0,0.455,0.8640000000000001,0.4379999999999999,25.0,50.0,1610612753,117.0,0.477,0.774,0.3670000000000001,30.0,42.0,0,cavaliers,magic
